Month,Total
1-Oct-03,6
1-Nov-03,5.8
1-Dec-03,5.7
1-Jan-04,5.7
1-Feb-04,5.6
1-Mar-04,5.8
1-Apr-04,5.6
1-May-04,5.6
1-Jun-04,5.6
1-Jul-04,5.5
1-Aug-04,5.4
1-Sep-04,5.4
1-Oct-04,5.5
1-Nov-04,5.4
1-Dec-04,5.4
1-Jan-05,5.3
1-Feb-05,5.4
1-Mar-05,5.2
1-Apr-05,5.2
1-May-05,5.1
1-Jun-05,5
1-Jul-05,5
1-Aug-05,4.9
1-Sep-05,5
1-Oct-05,5
1-Nov-05,5
1-Dec-05,4.9
1-Jan-06,4.7
1-Feb-06,4.8
1-Mar-06,4.7
1-Apr-06,4.7
1-May-06,4.6
1-Jun-06,4.6
1-Jul-06,4.7
1-Aug-06,4.7
1-Sep-06,4.5
1-Oct-06,4.4
1-Nov-06,4.5
1-Dec-06,4.4
1-Jan-07,4.6
1-Feb-07,4.5
1-Mar-07,4.4
1-Apr-07,4.5
1-May-07,4.4
1-Jun-07,4.6
1-Jul-07,4.7
1-Aug-07,4.6
1-Sep-07,4.7
1-Oct-07,4.7
1-Nov-07,4.7
1-Dec-07,5
1-Jan-08,5
1-Feb-08,4.9
1-Mar-08,5.1
1-Apr-08,5
1-May-08,5.4
1-Jun-08,5.6
1-Jul-08,5.8
1-Aug-08,6.1
1-Sep-08,6.1
1-Oct-08,6.5
1-Nov-08,6.8
1-Dec-08,7.3
1-Jan-09,7.8
1-Feb-09,8.3
1-Mar-09,8.7
1-Apr-09,9
1-May-09,9.4
1-Jun-09,9.5
1-Jul-09,9.5
1-Aug-09,9.6
1-Sep-09,9.8
1-Oct-09,10
1-Nov-09,9.9
1-Dec-09,9.9
1-Jan-10,9.8
1-Feb-10,9.8
1-Mar-10,9.9
1-Apr-10,9.9
1-May-10,9.6
1-Jun-10,9.4
1-Jul-10,9.4
1-Aug-10,9.5
1-Sep-10,9.5
1-Oct-10,9.4
1-Nov-10,9.8
1-Dec-10,9.3
1-Jan-11,9.1
1-Feb-11,9
1-Mar-11,9
1-Apr-11,9.1
1-May-11,9
1-Jun-11,9.1
1-Jul-11,9
1-Aug-11,9
1-Sep-11,9
1-Oct-11,8.8
1-Nov-11,8.6
1-Dec-11,8.5
1-Jan-12,8.3
1-Feb-12,8.3
1-Mar-12,8.2
1-Apr-12,8.2
1-May-12,8.2
1-Jun-12,8.2
1-Jul-12,8.2
1-Aug-12,8.1
1-Sep-12,7.8
1-Oct-12,7.8
1-Nov-12,7.7
1-Dec-12,7.9
1-Jan-13,8
1-Feb-13,7.7
1-Mar-13,7.5
1-Apr-13,7.6
1-May-13,7.5
1-Jun-13,7.5
1-Jul-13,7.3
1-Aug-13,7.2
1-Sep-13,7.2
1-Oct-13,7.2
1-Nov-13,6.9
1-Dec-13,6.7
1-Jan-14,6.6
1-Feb-14,6.7
1-Mar-14,6.7
1-Apr-14,6.2
1-May-14,6.3
1-Jun-14,6.1
1-Jul-14,6.2
1-Aug-14,6.1
1-Sep-14,5.9
1-Oct-14,5.7
1-Nov-14,5.8
1-Dec-14,5.6
1-Jan-15,5.7
1-Feb-15,5.5
1-Mar-15,5.4
1-Apr-15,5.4
1-May-15,5.6
1-Jun-15,5.3
1-Jul-15,5.2
1-Aug-15,5.1
1-Sep-15,5
1-Oct-15,5
1-Nov-15,5.1
1-Dec-15,5
1-Jan-16,4.8
1-Feb-16,4.9
1-Mar-16,5
1-Apr-16,5.1
1-May-16,4.8
1-Jun-16,4.9
1-Jul-16,4.8
1-Aug-16,4.9
1-Sep-16,5
1-Oct-16,4.9
1-Nov-16,4.7
1-Dec-16,4.7
1-Jan-17,4.7
1-Feb-17,4.6
1-Mar-17,4.4
1-Apr-17,4.4
1-May-17,4.4
1-Jun-17,4.3
1-Jul-17,4.3
1-Aug-17,4.4
1-Sep-17,4.3
1-Oct-17,4.2
1-Nov-17,4.2
1-Dec-17,4.1
1-Jan-18,4
1-Feb-18,4.1
1-Mar-18,4
1-Apr-18,4
1-May-18,3.8
1-Jun-18,4
1-Jul-18,3.8
1-Aug-18,3.8
1-Sep-18,3.7
1-Oct-18,3.8
1-Nov-18,3.8
1-Dec-18,3.9
1-Jan-19,4
1-Feb-19,3.8
1-Mar-19,3.8
1-Apr-19,3.6
1-May-19,3.7
1-Jun-19,3.6
1-Jul-19,3.7
1-Aug-19,3.7
1-Sep-19,3.5
1-Oct-19,3.6
1-Nov-19,3.6
1-Dec-19,3.6
1-Jan-20,3.5
1-Feb-20,3.5
1-Mar-20,4.4
1-Apr-20,14.7
1-May-20,13.2
1-Jun-20,11
1-Jul-20,10.2
1-Aug-20,8.4
1-Sep-20,7.9
1-Oct-20,6.9
1-Nov-20,6.7
1-Dec-20,6.7
1-Jan-21,6.3
1-Feb-21,6.2
1-Mar-21,6.1
1-Apr-21,6.1
1-May-21,5.8
1-Jun-21,5.9
1-Jul-21,5.4
1-Aug-21,5.2
1-Sep-21,4.8
1-Oct-21,4.5
1-Nov-21,4.2
1-Dec-21,3.9
1-Jan-22,4
1-Feb-22,3.8
1-Mar-22,3.6
1-Apr-22,3.6
1-May-22,3.6
1-Jun-22,3.6
1-Jul-22,3.5
1-Aug-22,3.7
1-Sep-22,3.5
1-Oct-22,3.7
1-Nov-22,3.6
1-Dec-22,3.5
1-Jan-23,3.4
1-Feb-23,3.6
1-Mar-23,3.5
1-Apr-23,3.4
1-May-23,3.7
1-Jun-23,3.6
1-Jul-23,3.5
1-Aug-23,3.8
1-Sep-23,3.8
1-Oct-23,3.9
